name,website,district,state,region_category,party,committee
"LaHood, Darin",https://lahood.house.gov/,16th,Illinois,State,R,Intelligence|Ways and Means|Select Comm on the Strategic Competition US and China
"LaLota, Nick",https://lalota.house.gov,1st,New York,State,R,Appropriations|Small Business
"LaMalfa, Doug",https://lamalfa.house.gov,1st,California,State,,
"Landsman, Greg",https://landsman.house.gov,1st,Ohio,State,D,Energy and Commerce
"Langworthy, Nicholas",https://langworthy.house.gov,23rd,New York,State,R,Oversight and Government Reform|Energy and Commerce|Rules
"Larsen, Rick",https://larsen.house.gov,2nd,Washington,State,D,Transportation and Infrastructure
"Larson, John",https://larson.house.gov/,1st,Connecticut,State,D,Ways and Means
"Latimer, George",https://latimer.house.gov/,16th,New York,State,D,Foreign Affairs|Small Business
"Latta, Robert",https://latta.house.gov/,5th,Ohio,State,R,Energy and Commerce
"Lawler, Michael",https://lawler.house.gov,17th,New York,State,R,Financial Services|Foreign Affairs
"Lee, Laurel",https://laurellee.house.gov,15th,Florida,State,R,House Administration|Energy and Commerce|Judiciary
"Lee, Summer",https://summerlee.house.gov,12th,Pennsylvania,State,D,Education and Workforce|Oversight and Government Reform
"Lee, Susie",https://susielee.house.gov,3rd,Nevada,State,D,Appropriations|Natural Resources
"Leger Fernandez, Teresa",https://fernandez.house.gov,3rd,New Mexico,State,D,Natural Resources|Rules
"Letlow, Julia",https://letlow.house.gov,5th,Louisiana,State,R,Appropriations|Education and Workforce
"Levin, Mike",https://levin.house.gov/,49th,California,State,D,Appropriations
"Liccardo, Sam",https://liccardo.house.gov/,16th,California,State,D,Financial Services
"Lieu, Ted",https://lieu.house.gov/,36th,California,State,D,Foreign Affairs|Judiciary
"Lofgren, Zoe",https://lofgren.house.gov/,18th,California,State,D,"Judiciary|Science, Space, and Technology"
"Loudermilk, Barry",https://loudermilk.house.gov,11th,Georgia,State,R,"Financial Services|House Administration|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Lucas, Frank",https://lucas.house.gov,3rd,Oklahoma,State,R,Agriculture|Financial Services
"Luna, Anna Paulina",https://luna.house.gov,13th,Florida,State,R,Foreign Affairs|Oversight and Government Reform
"Luttrell, Morgan",https://luttrell.house.gov,8th,Texas,State,R,Armed Services|Homeland Security|Veterans' Affairs
"Lynch, Stephen",https://lynch.house.gov/,8th,Massachusetts,State,D,Financial Services|Oversight and Government Reform
"Mace, Nancy",https://mace.house.gov,1st,South Carolina,State,R,Armed Services|Oversight and Government Reform|Veterans' Affairs
"Mackenzie, Ryan",https://mackenzie.house.gov/,7th,Pennsylvania,State,R,Education and Workforce|Foreign Affairs|Homeland Security
"Magaziner, Seth",https://magaziner.house.gov,2nd,Rhode Island,State,D,Homeland Security|Natural Resources
"Malliotakis, Nicole",https://malliotakis.house.gov,11th,New York,State,R,Ways and Means
"Maloy, Celeste",https://maloy.house.gov,2nd,Utah,State,R,Appropriations|Natural Resources
"Mann, Tracey",https://mann.house.gov,1st,Kansas,State,R,Agriculture|Transportation and Infrastructure
"Mannion, John",https://mannion.house.gov/,22nd,New York,State,D,Agriculture|Education and Workforce
"Massie, Thomas",https://massie.house.gov,4th,Kentucky,State,R,Judiciary|Transportation and Infrastructure
"Mast, Brian",https://mast.house.gov,21st,Florida,State,R,Foreign Affairs|Transportation and Infrastructure
"Matsui, Doris",https://matsui.house.gov,7th,California,State,D,Energy and Commerce
"McBath, Lucy",https://mcbath.house.gov,6th,Georgia,State,D,Education and Workforce|Judiciary
"McBride, Sarah",https://mcbride.house.gov/,At-large,Delaware At Large,Unknown,D,"Foreign Affairs|Science, Space, and Technology"
"McCaul, Michael",https://mccaul.house.gov,10th,Texas,State,R,Foreign Affairs|Homeland Security
"McClain, Lisa",https://mcclain.house.gov,9th,Michigan,State,R,Financial Services|Education and Workforce
"McClain Delaney, April",https://mcclaindelaney.house.gov/,6th,Maryland,State,D,"Agriculture|Science, Space, and Technology"
"McClellan, Jennifer",https://mcclellan.house.gov/,4th,Virginia,State,D,Energy and Commerce
"McClintock, Tom",https://mcclintock.house.gov/,5th,California,State,R,Budget|Natural Resources|Judiciary
"McCollum, Betty",https://mccollum.house.gov,4th,Minnesota,State,D,Appropriations
"McCormick, Richard",https://mccormick.house.gov,7th,Georgia,State,R,"Armed Services|Foreign Affairs|Science, Space, and Technology"
"McDonald Rivet, Kristen",https://mcdonaldrivet.house.gov/,8th,Michigan,State,D,Agriculture|Transportation and Infrastructure
"McDowell, Addison",https://mcdowell.house.gov/,6th,North Carolina,State,R,Budget|Natural Resources|Transportation and Infrastructure
"McGarvey, Morgan",https://mcgarvey.house.gov,3rd,Kentucky,State,D,Budget|Small Business|Veterans' Affairs
"McGovern, James",https://mcgovern.house.gov/,2nd,Massachusetts,State,D,Agriculture|Rules
"McGuire, John",https://mcguire.house.gov/,5th,Virginia,State,R,Armed Services|Oversight and Government Reform
"McIver, LaMonica",https://mciver.house.gov/,10th,New Jersey,State,D,Homeland Security|Small Business
"Meeks, Gregory",https://meeks.house.gov,5th,New York,State,D,Financial Services|Foreign Affairs
"Menefee, Christian",http://menefee.house.gov/,18th,Texas,State,D,
"Menendez, Robert",https://menendez.house.gov,8th,New Jersey,State,D,Energy and Commerce
"Meng, Grace",https://meng.house.gov,6th,New York,State,D,Appropriations
"Messmer, Mark",https://messmer.house.gov/,8th,Indiana,State,R,Agriculture|Armed Services|Education and Workforce
"Meuser, Daniel",https://meuser.house.gov,9th,Pennsylvania,State,R,Financial Services|Small Business
"Mfume, Kweisi",https://mfume.house.gov/,7th,Maryland,State,D,Foreign Affairs|Oversight and Government Reform
"Miller, Carol",https://miller.house.gov/,1st,West Virginia,State,R,Ways and Means
"Miller, Mary",https://marymiller.house.gov,15th,Illinois,State,R,Agriculture|Education and Workforce|House Administration
"Miller, Max",https://maxmiller.house.gov,7th,Ohio,State,R,"Science, Space, and Technology|Ways and Means"
"Miller-Meeks, Mariannette",https://millermeeks.house.gov/,1st,Iowa,State,R,Energy and Commerce|Veterans' Affairs
"Mills, Cory",https://mills.house.gov,7th,Florida,State,R,Armed Services|Foreign Affairs
"Min, Dave",https://min.house.gov/,47th,California,State,D,Oversight and Government Reform|Natural Resources
